timestamp_ns,busv,current,power,hall_speed
1778181413905790130,11.076,28.28,786.05,15.382499999999999
1778181414306576336,11.124,26.9,760.425,15.645
1778181414707417842,11.42,20.1175,443.575,15.907499999999999
1778181415208545167,12.216,1.765,1353.675,16.03
1778181415609685969,12.232,1.665,854.275,15.924999999999999
1778181416010359349,12.256,1.73,968.625,15.924999999999999
1778181416310900078,12.264,1.73,1317.6,15.785
1778181416711491569,12.276,1.615,744.175,15.522499999999999
1778181417011927858,12.28,1.68,632.625,15.522499999999999
1778181417412773542,12.288,1.68,292.2,15.3125
1778181417713322578,12.344,1.7,891.7,14.98
1778181418114397759,12.308,1.815,1082.85,14.98
1778181418415174999,12.308,1.7,27.775,14.665000000000001
1778181418816349723,12.312,1.8,84.75,14.665000000000001
1778181419217147518,12.36,1.615,258.625,14.4375
1778181419517637324,12.312,1.765,789.25,14.209999999999999
1778181419918798886,12.328,1.7,770.175,14.209999999999999
1778181420319759852,12.332,1.7,711.975,13.965
1778181420720598478,12.328,1.78,534.375,13.965
1778181420921298225,12.336,1.68,1630.775,13.6325
1778181421221962848,12.336,2.1,61.525,13.6325
1778181421623008023,12.336,1.765,187.75,13.229999999999999
1778181422124709696,12.344,2.3,572.95,13.229999999999999
1778181422525685872,12.34,1.68,110.1,12.775
1778181422926596093,12.344,1.78,335.975,12.775
1778181423326947693,12.148,6.0975,1025.3,12.1975
1778181423527596433,10.744,38.5,1490.55,12.1975
1778181423828462676,10.784,37.3475,1271.975,11.9525
1778181424229155928,10.7,37.9825,604.95,12.3725
1778181424630166768,10.692,37.4675,207.75,12.3725
1778181425030861284,10.688,37.8475,634.0,12.844999999999999
1778181425331524025,10.584,40.3325,296.4,12.844999999999999
1778181425732920700,10.612,39.4325,904.525,13.299999999999999
1778181426134311014,10.58,40.38,1121.975,13.8075
1778181426635406006,10.564,40.9,147.175,13.8075
1778181427036355721,10.472,42.75,449.125,14.385000000000002
1778181427336979268,10.516,40.5975,1370.6,14.8925
1778181427738361617,11.312,23.25,905.925,14.8925
1778181428039065444,10.764,36.5825,1126.25,15.260000000000002
1778181428440289815,10.468,42.2325,160.225,15.504999999999999
1778181428741011937,10.444,42.9675,488.95,15.504999999999999
1778181428941627605,10.372,44.235,1492.15,16.0475
1778181429342051502,10.388,44.7325,1276.875,16.6425
1778181429943548606,10.32,46.2675,253.375,17.6575
1778181430244073548,12.1,1.85,773.225,17.6575
1778181430645245050,12.18,1.75,721.275,18.060000000000002
1778181431046077374,12.208,1.765,562.75,17.99
1778181431447516380,12.22,1.7,78.975,17.745
1778181431848320971,12.236,1.73,241.0,17.5525
1778181432048877689,12.248,1.715,735.45,17.5525
1778181432349939308,12.28,1.7,606.0,17.3075
1778181432750971639,12.264,1.73,210.95,17.0625
1778181433051656100,12.268,1.665,643.75,17.0625
1778181433854043649,12.3,1.75,995.325,16.66
1778181434054484106,12.292,1.75,1399.075,16.4675
1778181434254616465,12.284,1.75,992.825,16.4675
1778181434555665782,12.3,2.0675,1391.45,16.0475
1778181434956687362,12.304,1.7,969.55,15.75
1778181435157001062,12.312,1.665,1320.425,15.75
1778181435357507836,12.316,1.73,752.8,15.662499999999998
1778181435658342198,12.316,1.7,658.95,15.6275
1778181435859005816,12.32,1.73,372.55,15.6275
1778181436259587189,12.328,1.715,1136.925,15.540000000000001
1778181436660330837,12.4,1.765,192.8,15.4175
1778181437061063595,12.332,1.73,588.375,15.4175
1778181437362102473,12.332,1.765,157.175,15.3475
1778181437562566376,12.336,1.78,479.65,15.3475
1778181437762875686,12.34,1.715,1463.775,15.1725
1778181438163734249,12.416,1.715,1190.275,14.9975
1778181438564470704,12.34,1.765,355.625,14.9975
1778181438965609094,12.348,1.715,1085.275,14.735
1778181439365857370,12.356,1.7,35.175,14.4725
1778181439767428283,12.352,1.715,107.325,14.4725
1778181439967731493,12.348,2.0475,327.525,14.14
1778181440268539317,12.352,1.68,999.525,14.14
1778181440469142639,12.356,2.3,1411.9,13.79
1778181440870630176,12.044,9.2825,1031.975,13.79
1778181441271755592,12.28,3.3675,1510.925,13.457500000000001
1778181441672583358,12.288,3.2,1334.175,13.16
1778181442073795056,12.284,3.265,794.775,13.16
1778181442474887440,12.004,9.9175,787.05,12.8975
1778181442875661884,11.624,18.6,763.475,12.8975
1778181443175987952,11.956,10.8975,691.525,12.88
1778181443576819224,11.796,13.9,471.95,12.88
1778181443877553098,12.276,2.5175,1440.275,13.125
1778181444278790514,12.288,2.5475,1118.55,13.055
1778181444579101623,12.292,2.6,136.725,13.055
1778181444979726437,12.288,2.7825,417.25,12.844999999999999
1778181445480580648,12.284,2.8975,1273.325,12.844999999999999
1778181445881355654,12.2,4.6975,609.075,12.635
1778181446182050746,11.656,17.7825,220.325,12.635
1778181446583102983,11.596,18.665,672.375,12.6525
1778181446983966077,11.5,20.6475,413.525,12.6525
1778181447285027417,11.508,20.2325,1261.975,12.915
1778181447685876853,11.528,19.8325,574.425,13.2125
1778181447986930249,12.184,2.9325,114.6,13.2125
1778181448388148188,12.22,2.9825,349.725,13.4225
1778181448789173104,12.236,2.9175,1067.275,13.4225
1778181448989798310,12.252,2.9175,1618.65,13.2475
1778181449190103903,12.308,1.8,24.525,13.2475
1778181449390578245,12.312,1.78,74.825,12.967500000000001
1778181449591428302,12.316,1.73,228.325,12.967500000000001
